distance_km,base_eta_minutes,hour_of_day,day_of_week,traffic_ratio,weather_score,priority_flag,route_complexity_score,historical_delay_factor,actual_delivery_time_minutes
70.67,131.06,6,5,1.24,0.7,0,0.84,1.5,240.43
32.43,79.11,22,2,1.63,0.91,0,0.33,1.14,98.53
69.59,112.94,23,0,1.08,0.74,0,0.8,1.21,162.76
78.36,151.02,14,1,1.28,0.45,0,0.14,0.96,175.76
5.48,13.6,10,4,1.65,0.61,0,0.54,1.78,27.06
4.65,8.65,11,1,1.24,0.51,0,0.47,0.95,8.05
71.01,174.14,2,0,1.88,0.41,1,0.87,1.88,392.9
66.48,173.95,15,4,1.74,0.44,0,0.55,1.76,365.61
33.35,63.42,16,4,1.27,0.44,0,0.47,1.13,86.41
31.78,65.44,17,2,1.37,0.8,0,0.91,1.82,166.34
28.58,67.45,11,3,1.81,0.77,1,0.56,1.53,116.1
62.73,156.78,0,1,1.67,0.91,0,0.63,1.0,185.47
8.1,12.12,12,6,1.15,0.97,1,0.61,1.68,18.68
80.47,189.35,2,1,1.57,0.41,0,0.26,1.46,332.11
40.14,104.2,16,3,1.73,0.87,0,0.62,1.83,218.17
10.84,26.53,17,0,1.63,0.62,0,0.68,1.23,44.13
65.05,132.58,15,1,1.36,0.55,0,0.24,1.84,280.21
33.2,76.4,3,5,1.53,0.96,0,0.52,1.28,112.99
61.29,103.91,20,6,1.13,0.9,0,0.22,1.49,188.44
2.03,5.45,2,3,1.79,0.54,0,0.49,1.2,8.92
66.63,194.61,13,0,1.95,0.92,0,0.81,1.01,221.6
8.6,13.5,16,6,1.05,0.51,0,0.76,1.1,17.68
56.13,86.3,21,0,1.03,0.38,0,0.79,1.14,120.1
5.81,16.4,16,5,1.88,0.85,0,0.82,0.94,16.89
11.49,25.68,16,3,1.71,0.76,1,0.25,1.63,42.9
23.74,68.79,2,4,1.93,0.75,0,0.63,0.94,76.92
60.6,87.37,9,1,1.11,0.47,1,0.5,1.68,204.55
49.08,139.87,10,1,1.9,0.55,0,0.7,1.55,265.18
13.47,28.2,11,3,1.4,0.66,0,0.23,1.18,40.82
36.94,89.23,18,4,1.61,0.62,0,0.3,1.49,173.54
4.03,8.83,7,2,1.46,0.5,0,0.59,1.6,19.15
55.8,146.68,14,2,1.75,0.71,0,0.64,1.26,220.1
62.88,177.01,13,6,1.88,0.68,0,0.78,1.21,248.51
42.51,69.31,0,0,1.09,0.9,0,0.35,1.23,94.21
27.37,36.9,1,5,1.03,0.89,1,0.43,1.05,42.69
11.05,31.69,12,2,1.91,1.0,0,0.38,1.59,51.49
33.58,51.88,22,4,1.03,0.49,0,0.26,1.07,70.11
84.09,227.08,22,3,1.8,0.99,0,0.49,1.29,329.24
64.45,140.8,0,3,1.46,0.45,0,0.87,0.94,170.01
25.53,59.95,4,3,1.57,0.67,0,0.32,1.74,120.11
55.53,144.05,9,4,1.73,0.39,0,0.57,1.24,254.06
41.54,98.19,12,5,1.81,0.68,1,0.61,1.75,197.55
42.9,62.54,20,3,1.12,0.61,1,0.64,1.08,96.38
17.09,48.27,6,0,1.88,0.64,0,0.62,0.91,51.67
60.05,174.14,12,4,1.93,0.75,0,0.75,1.8,363.56
81.91,224.37,14,5,1.83,0.42,0,0.49,1.45,395.99
82.46,159.33,2,6,1.29,0.83,0,0.41,1.02,181.66
66.3,167.46,23,3,1.94,0.65,1,0.46,1.69,330.06
47.66,134.4,12,5,1.88,0.88,0,0.43,0.95,143.36
57.73,150.63,18,4,1.74,0.91,0,0.78,0.95,191.85
53.24,81.79,5,6,1.02,0.68,0,0.14,1.3,118.62
57.42,135.78,6,1,1.81,0.58,1,0.37,1.49,234.63
24.09,43.15,13,6,1.19,0.41,0,0.72,1.71,93.47
25.89,38.75,18,2,1.15,0.72,1,0.7,1.5,78.32
77.89,133.76,5,3,1.14,0.59,0,0.29,0.92,148.7
54.3,114.93,21,2,1.41,0.97,0,0.57,1.18,155.73
20.75,58.06,13,2,1.87,0.69,0,0.61,1.55,104.43
21.28,37.16,7,2,1.16,0.92,0,0.59,1.69,82.03
37.82,95.96,20,3,1.95,0.79,1,0.87,1.69,216.84
48.22,117.7,7,0,1.63,0.97,0,0.48,0.94,133.45
9.65,18.08,7,0,1.25,0.39,0,0.55,1.21,29.87
10.37,16.75,15,2,1.08,0.8,0,0.37,1.29,26.6
1.14,3.11,6,0,1.82,0.35,0,0.53,1.23,5.95
66.57,126.03,11,5,1.26,0.56,0,0.52,1.58,243.65
28.78,45.99,5,6,1.07,0.65,0,0.24,0.95,50.57
78.18,140.16,2,0,1.2,0.37,0,0.63,1.14,200.49
50.58,77.72,16,5,1.02,0.9,0,0.26,1.67,143.61
22.36,42.07,5,6,1.44,0.74,1,0.42,1.71,79.29
68.13,124.81,2,4,1.22,0.62,0,0.18,0.93,135.46
2.6,6.61,16,1,1.69,0.81,0,0.38,1.79,15.96
11.59,28.93,18,1,1.66,0.46,0,0.94,0.9,38.64
84.42,125.31,13,4,1.14,0.93,1,0.57,1.52,218.47
5.24,8.85,10,4,1.29,0.78,1,0.14,1.5,14.55
74.41,177.24,20,1,1.59,0.71,0,0.68,1.63,392.83
64.71,136.85,17,6,1.41,0.68,0,0.78,1.42,258.64
8.9,18.53,18,6,1.39,0.79,0,0.92,1.08,29.87
73.15,133.58,23,6,1.22,0.66,0,0.85,1.28,204.87
63.3,166.0,15,5,1.75,0.72,0,0.87,1.77,349.58
9.39,20.96,0,1,1.71,0.37,1,0.43,1.62,38.79
34.15,81.25,15,2,1.59,0.73,0,0.62,1.84,173.23
17.53,36.45,8,2,1.39,0.44,0,0.69,1.24,66.45
21.46,55.4,4,0,1.72,0.92,0,0.29,1.09,63.62
40.35,55.89,10,1,1.06,0.66,1,0.66,1.4,90.14
22.2,50.14,3,2,1.73,0.92,1,0.94,1.88,105.67
7.03,13.75,9,0,1.3,0.71,0,0.82,1.52,26.76
14.89,26.1,1,1,1.17,0.9,0,0.73,1.2,34.15
35.01,79.37,2,5,1.74,0.48,1,0.22,1.8,161.16
23.22,41.34,4,5,1.19,0.62,0,0.32,1.61,80.4
74.46,169.07,17,2,1.51,0.51,0,0.25,1.84,414.72
66.3,146.81,7,3,1.48,0.69,0,0.48,1.03,206.32
80.99,231.61,2,3,1.91,0.46,0,0.29,1.15,319.97
10.99,21.75,3,6,1.32,0.75,0,0.45,1.43,35.61
84.04,215.53,3,5,1.71,0.65,0,0.88,1.24,328.04
29.76,71.39,1,5,1.6,0.84,0,0.3,1.82,142.1
54.68,159.42,18,0,1.94,0.53,0,0.5,1.03,217.42
54.11,152.38,11,2,1.88,0.56,0,0.5,1.56,279.03
40.71,81.76,14,6,1.34,0.47,0,0.82,0.94,93.4
75.97,221.34,17,5,1.94,0.7,0,0.37,1.85,535.41
63.03,145.85,9,2,1.54,0.82,0,0.87,1.32,263.7
29.76,63.8,16,2,1.43,0.43,0,0.67,1.56,125.11
2.66,4.18,21,2,1.2,0.86,1,0.32,1.57,5.07
24.11,40.37,18,0,1.28,0.79,1,0.29,1.44,66.65
81.05,152.84,13,4,1.26,0.76,0,0.93,1.3,244.08
2.95,8.12,12,2,1.83,0.75,0,0.9,1.75,15.11
46.74,112.74,16,3,1.61,0.57,0,0.88,1.82,251.48
83.17,215.97,0,5,1.73,0.85,0,0.5,1.14,283.51
25.3,59.4,7,1,1.56,0.62,0,0.8,1.76,144.13
1.63,4.31,0,2,1.76,0.9,0,0.76,1.02,4.7
84.88,148.1,6,1,1.16,0.62,0,0.89,1.88,345.04
12.59,24.02,14,5,1.27,0.93,0,0.21,1.73,46.82
36.57,81.51,12,3,1.49,0.8,0,0.94,1.9,185.12
9.0,26.02,16,5,1.93,0.56,0,0.47,0.95,30.91
30.68,82.55,7,5,1.79,0.88,0,0.39,1.65,172.21
42.27,73.15,5,6,1.15,0.92,0,0.25,1.43,110.78
5.44,11.63,5,0,1.43,0.85,0,0.66,1.72,22.09
13.34,31.06,1,6,1.79,0.7,1,0.2,1.29,44.12
22.63,50.53,7,5,1.49,0.84,0,0.43,1.12,73.34
64.13,105.8,23,0,1.1,0.46,0,0.8,1.3,172.01
12.53,23.48,23,4,1.44,0.61,1,0.93,1.77,46.48
19.55,37.79,11,4,1.29,0.83,0,0.58,1.73,79.14
3.23,7.66,12,0,1.58,0.67,0,0.47,1.66,11.03
48.14,91.84,3,2,1.27,0.69,0,0.59,1.58,173.62
1.09,3.03,0,1,1.85,0.77,0,0.86,1.37,6.97
79.59,145.66,11,0,1.22,0.73,0,0.68,1.11,188.95
18.39,28.39,2,2,1.18,0.44,1,0.39,1.26,40.29
31.02,64.24,8,1,1.59,0.48,1,0.89,1.0,89.7
10.69,18.17,11,4,1.13,0.9,0,0.8,1.43,32.38
4.71,9.34,5,2,1.32,0.97,0,0.79,1.07,9.61
42.89,123.7,12,3,1.92,0.6,0,0.61,1.03,155.15
17.23,47.18,23,0,1.83,0.73,0,0.46,1.33,69.92
78.85,163.7,19,6,1.38,0.56,0,0.59,1.36,299.06
47.57,95.72,8,2,1.34,0.6,0,0.26,1.62,206.35
19.02,42.74,18,3,1.72,0.52,1,0.89,1.5,90.64
5.42,11.25,15,6,1.39,0.95,0,0.12,0.94,14.6
48.26,123.9,1,0,1.71,0.9,0,0.51,0.91,125.41
28.78,59.01,21,6,1.37,0.72,0,0.25,1.67,103.67
46.06,132.4,5,6,1.92,0.91,0,0.61,1.78,250.86
69.12,160.18,12,3,1.54,0.99,0,0.47,1.27,227.16
10.95,29.54,21,5,1.8,0.53,0,0.85,0.92,35.3
39.95,70.23,10,4,1.17,0.78,0,0.63,0.94,82.92
44.87,77.39,22,1,1.15,0.47,0,0.2,1.85,168.92
68.95,98.49,9,6,1.1,0.77,1,0.65,1.33,172.83
4.02,11.71,4,3,1.94,0.97,0,0.71,1.2,15.84
4.79,12.92,7,6,1.8,0.43,0,0.81,1.06,18.35
77.92,162.4,20,3,1.39,0.64,0,0.92,1.21,280.75
25.03,41.58,4,6,1.11,0.91,0,0.81,1.88,88.75
80.24,211.85,15,0,1.76,0.7,0,0.87,1.87,459.49
41.57,86.0,10,3,1.38,0.59,0,0.19,0.98,100.6
38.47,91.71,4,6,1.59,0.37,0,0.29,1.88,198.34
44.32,128.24,15,6,1.93,0.5,0,0.25,0.96,139.84
48.76,111.14,8,6,1.52,0.76,0,0.78,1.52,218.33
80.7,133.67,3,2,1.1,0.5,0,0.9,1.28,220.68
46.4,91.75,10,1,1.32,0.77,0,0.48,1.13,123.64
15.19,27.21,17,6,1.19,0.42,0,0.55,1.41,51.67
84.56,185.77,2,3,1.46,0.62,0,0.61,1.13,255.08
5.27,11.51,14,6,1.46,0.93,0,0.17,1.72,20.39
66.67,161.33,21,2,1.61,0.91,0,0.41,1.56,282.82
81.69,173.43,16,2,1.42,0.88,0,0.73,1.36,273.99
63.6,114.92,8,0,1.2,0.76,0,0.86,1.17,186.98
81.31,146.82,19,1,1.2,0.54,0,0.85,1.66,350.88
15.72,34.53,18,2,1.46,0.45,0,0.38,1.03,48.47
60.22,132.56,3,0,1.47,0.86,0,0.8,1.35,202.47
21.22,37.69,8,2,1.18,0.65,0,0.32,1.65,86.8
23.92,51.23,8,0,1.43,0.55,0,0.32,1.66,108.47
42.83,117.33,15,4,1.83,1.0,0,0.86,1.81,240.96
39.72,61.64,18,0,1.03,0.66,0,0.46,1.47,120.97
71.28,114.3,23,0,1.23,0.87,1,0.95,1.77,231.66
27.41,45.37,3,2,1.27,0.74,1,0.41,1.46,76.06
15.26,24.59,5,1,1.07,0.97,0,0.81,1.58,44.21
15.74,29.89,5,5,1.27,0.94,0,0.68,1.71,56.96
24.2,45.96,8,6,1.27,0.63,0,0.33,1.68,99.33
32.78,59.89,17,5,1.22,0.35,0,0.95,0.94,88.65
44.59,73.76,17,5,1.1,0.61,0,0.43,1.09,110.03
35.44,96.84,10,3,1.82,0.77,0,0.94,1.31,154.24
78.56,200.18,1,1,1.7,0.84,0,0.51,1.1,253.99
39.96,91.76,5,2,1.76,0.94,1,0.34,1.17,117.96
12.34,22.44,0,6,1.39,0.5,1,0.45,0.94,24.04
54.7,86.77,10,5,1.22,0.95,1,0.82,1.13,116.65
73.86,176.78,12,2,1.6,0.84,0,0.77,1.84,374.71
38.06,74.99,1,6,1.51,0.83,1,0.74,1.19,101.56
21.02,46.98,7,3,1.49,0.73,0,0.77,1.81,118.6
62.87,142.06,6,4,1.51,0.47,0,0.92,1.62,291.62
83.67,176.1,9,2,1.61,0.66,1,0.2,1.31,301.39
24.86,44.62,12,5,1.38,0.99,1,0.37,1.67,76.76
51.93,139.56,7,4,1.79,0.37,0,0.71,1.46,295.83
5.64,15.43,10,2,1.82,0.37,0,0.9,0.95,15.98
73.8,204.08,5,5,1.84,0.49,0,0.77,1.15,288.57
3.28,8.28,8,6,1.68,0.76,0,0.56,1.38,13.68
54.8,151.72,7,1,1.85,0.88,0,0.6,1.04,206.85
76.84,153.18,16,6,1.33,0.46,0,0.19,1.02,180.94
84.15,144.3,2,0,1.14,0.89,0,0.76,1.53,251.13
54.63,137.9,10,3,1.68,0.64,0,0.51,1.07,174.83
22.9,42.91,10,1,1.25,0.9,0,0.69,1.76,86.07
65.26,103.98,4,2,1.22,0.8,1,0.36,1.47,176.66
47.56,113.26,6,4,1.59,0.76,0,0.7,1.57,209.06
7.22,15.17,18,3,1.4,0.41,0,0.49,1.64,33.97
64.88,125.6,23,3,1.48,0.75,1,0.53,1.43,206.23
62.95,123.13,2,0,1.5,0.66,1,0.53,1.37,193.51
38.85,71.19,14,1,1.22,0.41,0,0.48,1.67,142.25
3.7,6.46,5,3,1.16,0.96,0,0.64,1.23,8.64
35.63,65.98,6,5,1.23,0.94,0,0.75,1.75,129.7
19.81,37.23,17,2,1.25,0.52,0,0.94,1.89,102.42
54.68,154.82,17,6,1.89,0.48,0,0.81,1.2,258.25
83.79,234.12,10,6,1.86,0.87,0,0.39,1.45,364.63
43.46,91.25,13,4,1.4,0.84,0,0.39,1.03,110.64
72.44,133.87,23,3,1.23,0.84,0,0.14,1.22,181.94
56.09,90.9,21,1,1.08,0.39,0,0.14,1.75,190.36
51.95,97.03,5,3,1.43,0.4,1,0.86,0.91,114.55
76.93,133.8,8,3,1.16,0.48,0,0.72,1.5,285.8
42.5,93.32,13,2,1.46,0.58,0,0.16,1.25,134.73
